MTC_NM,PDLT_NM,VOLUME_KG,rank
충남 공주시,딸기,2751394.95,3
충남 금산군,딸기,1077150.9,1
충남 금산군,깻잎,832451.2,2
충남 금산군,포도,487543.0,3
충남 논산시,수박,21553514.4,1
충남 논산시,상추,18200728.3,2
충남 논산시,딸기,12836761.75,3
충남 당진군,무,12777455.2,1
충남 당진군,고구마,8469824.0,2
충남 당진군,감자,5649494.3,3
충남 당진시,무,5076359.0,1
충남 당진시,고구마,3667313.8,2
충남 당진시,감자,1672585.0,3
충남 보령시,방울토마토,697616.0,1
충남 보령시,쪽파,421931.93,2
충남 보령시,마늘,246834.2,3
충남 부여군,방울토마토,14498553.1,1
충남 부여군,수박,13089856.08,2
충남 부여군,오이,1923087.0,3
충남 서산시,양배추,9759846.0,1
충남 서산시,감자,9345731.5,2
충남 서산시,마늘,7950990.0,3
충남 서천군,쪽파,1875473.35,1
충남 서천군,강낭콩,400809.63,2
충남 서천군,완두,151514.7,3
충남 아산시,배,21310711.8,1
충남 아산시,대파,2892915.6,2
충남 아산시,배추,2731175.3,3
충남 연기군,오이,4612933.0,1
충남 연기군,배,2823249.1,2
충남 연기군,수박,766133.0,3
충남 예산군,사과,6953323.1,1
충남 예산군,배추,4816834.5,2
충남 예산군,쪽파,3924877.74,3
충남 천안시,배,17163846.2,1
충남 천안시,오이,4778260.7,2
충남 천안시,포도,2779831.1,3
충남 청양군,수박,1169399.5,1
충남 청양군,미나리,875125.25,2
충남 청양군,메론,438491.5,3
충남 태안군,마늘,4786619.0,1
충남 태안군,무,1408574.4,2
충남 태안군,양파,1307630.0,3
충남 홍성군,양파,2638917.5,1
충남 홍성군,수박,1135664.0,2
충남 홍성군,배추,687619.0,3
충북 괴산군,옥수수,4574932.2,1
충북 괴산군,배추,4415423.0,2
충북 괴산군,사과,4265081.5,3
충북 단양군,사과,1728627.0,1
충북 단양군,수박,1098993.0,2
충북 단양군,배추,695608.0,3
충북 보은군,사과,10703432.0,1
충북 보은군,복숭아,1551180.5,2
충북 보은군,오이,1487242.0,3
충북 영동군,복숭아,12546670.25,1
충북 영동군,포도,10191339.1,2
충북 영동군,사과,4542486.0,3
충북 옥천군,복숭아,5251969.0,1
충북 옥천군,깻잎,2916758.77,2
충북 옥천군,포도,2217804.5,3
충북 음성군,수박,43336259.5,1
충북 음성군,복숭아,5195958.2,2
충북 음성군,새송이,4095162.0,3
충북 제천시,오이,4019889.0,1
충북 제천시,사과,2561364.1,2
